ConditionID,ConditionName,ConceptID,PrimaryTerm
1056,ViralHepatitis-WRpt,757007,Infectious canine hepatitis
1056,ViralHepatitis-WRpt,1116000,Chronic aggressive type B viral hepatitis
1056,ViralHepatitis-WRpt,3738000,Viral hepatitis
1056,ViralHepatitis-WRpt,4846001,Anicteric viral hepatitis
1056,ViralHepatitis-WRpt,10295004,Chronic viral hepatitis
1056,ViralHepatitis-WRpt,13265006,Acute fulminating type B viral hepatitis
1056,ViralHepatitis-WRpt,16060001,Viral hepatitis A with hepatic coma
1056,ViralHepatitis-WRpt,18917003,Acute fulminating type A viral hepatitis
1056,ViralHepatitis-WRpt,25102003,Acute type A viral hepatitis
1056,ViralHepatitis-WRpt,26206000,Viral hepatitis B with hepatic coma
1056,ViralHepatitis-WRpt,28766006,Posttransfusion viral hepatitis
1056,ViralHepatitis-WRpt,29062009,Relapsing type B viral hepatitis
1056,ViralHepatitis-WRpt,36155008,Hepatitis in coxsackie viral disease
1056,ViralHepatitis-WRpt,38662009,Chronic persistent type B viral hepatitis
1056,ViralHepatitis-WRpt,40468003,"Viral hepatitis, type A"
1056,ViralHepatitis-WRpt,40946000,Viral hepatitis with hepatic coma
1056,ViralHepatitis-WRpt,43634002,Relapsing type A viral hepatitis
1056,ViralHepatitis-WRpt,45042004,Acute fulminating viral hepatitis
1056,ViralHepatitis-WRpt,50167007,Chronic active type B viral hepatitis
1056,ViralHepatitis-WRpt,50711007,Viral hepatitis C
1056,ViralHepatitis-WRpt,53425008,Anicteric type B viral hepatitis
1056,ViralHepatitis-WRpt,57412004,Acute viral hepatitis
1056,ViralHepatitis-WRpt,58282009,Relapsing viral hepatitis
1056,ViralHepatitis-WRpt,60037002,Chronic persistent viral hepatitis
1056,ViralHepatitis-WRpt,61977001,Chronic type B viral hepatitis
1056,ViralHepatitis-WRpt,62245009,Avian inclusion body hepatitis
1056,ViralHepatitis-WRpt,66071002,Type B viral hepatitis
1056,ViralHepatitis-WRpt,66870002,Chronic active viral hepatitis
1056,ViralHepatitis-WRpt,76795007,Acute type B viral hepatitis
1056,ViralHepatitis-WRpt,79031007,Anicteric type A viral hepatitis
1056,ViralHepatitis-WRpt,89231008,Mumps hepatitis
1056,ViralHepatitis-WRpt,89789003,Chronic aggressive viral hepatitis
1056,ViralHepatitis-WRpt,111879004,Viral hepatitis A without hepatic coma
1056,ViralHepatitis-WRpt,111891008,Viral hepatitis B without hepatic coma
1056,ViralHepatitis-WRpt,111896003,Viral hepatitis without hepatic coma
1056,ViralHepatitis-WRpt,128302006,Chronic hepatitis C
1056,ViralHepatitis-WRpt,186621007,Viral hepatitis A with coma
1056,ViralHepatitis-WRpt,186623005,Viral hepatitis B with coma
1056,ViralHepatitis-WRpt,186624004,Hepatic coma due to acute hepatitis B with delta agent
1056,ViralHepatitis-WRpt,186626002,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
1056,ViralHepatitis-WRpt,186628001,Hepatic coma due to viral hepatitis C
1056,ViralHepatitis-WRpt,186634008,Hepatitis non-A non-B
1056,ViralHepatitis-WRpt,186639003,Chronic viral hepatitis B without delta-agent
1056,ViralHepatitis-WRpt,186698009,Cytomegalovirus hepatitis
1056,ViralHepatitis-WRpt,187435007,"[X]Chronic viral hepatitis, unspecified"
1056,ViralHepatitis-WRpt,187436008,[X]Unspecified viral hepatitis with coma
1056,ViralHepatitis-WRpt,187437004,[X]Unspecified viral hepatitis without coma
1056,ViralHepatitis-WRpt,197339003,Coxsackie virus hepatitis
1056,ViralHepatitis-WRpt,197342009,Hepatitis in yellow fever
1056,ViralHepatitis-WRpt,197344005,Hepatitis with adenovirus
1056,ViralHepatitis-WRpt,199203001,"Viral hepatitis complicating pregnancy, childbirth and the puerperium"
1056,ViralHepatitis-WRpt,206372007,Congenital hepatitis
1056,ViralHepatitis-WRpt,235864009,Acute hepatitis B with hepatitis D
1056,ViralHepatitis-WRpt,235865005,Hepatitis D superinfection of hepatitis B carrier
1056,ViralHepatitis-WRpt,235866006,Acute hepatitis C
1056,ViralHepatitis-WRpt,235867002,Acute hepatitis E
1056,ViralHepatitis-WRpt,235868007,Acute non-A non-B hepatitis
1056,ViralHepatitis-WRpt,235869004,Chronic viral hepatitis B with hepatitis D
1056,ViralHepatitis-WRpt,235870003,Chronic non-A non-B hepatitis
1056,ViralHepatitis-WRpt,266195001,Serum hepatitis
1056,ViralHepatitis-WRpt,276668008,Congenital non-A non-B hepatitis infection
1056,ViralHepatitis-WRpt,302919001,Epstein-Barr virus hepatitis
1056,ViralHepatitis-WRpt,397575003,"Viral hepatitis, type G"
1056,ViralHepatitis-WRpt,406584008,"Non-A, non-B, non-C hepatitis"
1056,ViralHepatitis-WRpt,406585009,"Acute non-A, non-B, non-C hepatitis"
1056,ViralHepatitis-WRpt,424099008,Acute hepatitis B with hepatic coma
1056,ViralHepatitis-WRpt,424340000,Chronic hepatitis B with hepatic coma
1056,ViralHepatitis-WRpt,424460009,Hepatitis B with hepatitis D superinfection
1056,ViralHepatitis-WRpt,424758008,"Viral hepatitis A without hepatic coma, without hepatitis delta"
1056,ViralHepatitis-WRpt,442134007,Hepatitis B associated with Human immunodeficiency virus infection
1056,ViralHepatitis-WRpt,442374005,Hepatitis B and hepatitis C
1056,ViralHepatitis-WRpt,446698005,Reactivation of hepatitis B viral hepatitis
1056,ViralHepatitis-WRpt,450880008,Chronic hepatitis E
1056,ViralHepatitis-WRpt,702969000,Reactivation of hepatitis C viral hepatitis
1056,ViralHepatitis-WRpt,703866000,Chronic hepatitis C with stage 2 fibrosis
1056,ViralHepatitis-WRpt,707341005,Viral hepatitis D
1056,ViralHepatitis-WRpt,708198006,Chronic active hepatitis C
1056,ViralHepatitis-WRpt,713966008,Occult chronic type B viral hepatitis
1056,ViralHepatitis-WRpt,721588008,Hepatitis caused by sexually transmissible virus
1056,ViralHepatitis-WRpt,722864002,Acute hepatic failure caused by hepatitis virus
1056,ViralHepatitis-WRpt,722865001,Subacute hepatic failure caused by hepatitis virus
1056,ViralHepatitis-WRpt,735451005,Chronic viral hepatitis D
1056,ViralHepatitis-WRpt,767809001,Chronic hepatitis C caused by hepatitis C virus genotype 6
1056,ViralHepatitis-WRpt,767810006,Chronic hepatitis C caused by hepatitis C virus genotype 5
