code,term
102577000,Trepopnea
1217110005,Dyspnea when bending forward
161939006,Breathless - moderate exertion
161940008,Breathless - mild exertion
161941007,Dyspnea at rest
230145002,Difficulty breathing
23141003,Gasping for breath
248548009,Nocturnal dyspnea
248549001,Labored breathing
25209001,Inspiratory dyspnea
267036007,Dyspnea
271823003,Tachypnea
297216006,Increasing breathlessness
30744009,Platypnea
390870001,Short of breath dressing/undressing
390871002,Breathless - strenuous exertion
407588003,Unable to complete a sentence in one breath
55442000,Paroxysmal nocturnal dyspnea
57769004,Dyspnea after eating
59265000,Paroxysmal dyspnea
60845006,Dyspnea on exertion
62744007,Orthopnea
852051000000107,Minimal breathlessness
