PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01000001,ASTHMA,1361,68,63.05339149665152,4.946608503348479,0.134084469207783,False
E01000002,ASTHMA,1293,78,57.745442814422255,20.254557185577745,0.5632789093896705,False
E01000003,ASTHMA,1440,74,68.4930502076084,5.506949792391595,0.1451208692012403,False
E01000005,ASTHMA,1545,72,68.49654762636811,3.5034523736318874,0.08913165613722764,False
E01000006,ASTHMA,2357,51,105.23462119826488,-54.234621198264875,-1.117112264656181,False
E01000007,ASTHMA,3567,84,159.87038539574962,-75.87038539574962,-1.270342229660831,False
E01000008,ASTHMA,2090,56,97.7916850497032,-41.791685049703204,-0.9141484753959291,False
E01000009,ASTHMA,2734,69,132.32380754061762,-63.32380754061762,-1.2110658701567456,False
E01000010,ASTHMA,5571,117,250.85509252205932,-133.85509252205932,-1.7933634709333048,False
E01000011,ASTHMA,2428,68,114.95159382916646,-46.951593829166455,-0.9528532032671836,False
E01000012,ASTHMA,3051,80,139.66762191398192,-59.66762191398192,-1.0802334599735872,False
E01000013,ASTHMA,2259,77,106.8512629943329,-29.8512629943329,-0.6280650042474498,False
E01000014,ASTHMA,2040,82,96.70998441946446,-14.709984419464462,-0.32568452919851515,False
E01000015,ASTHMA,2839,91,130.61550156628223,-39.615501566282234,-0.7435025503594601,False
E01000016,ASTHMA,2226,91,103.2626416420954,-12.262641642095403,-0.2599090829035506,False
E01000017,ASTHMA,2123,72,101.68420473547602,-29.684204735476015,-0.6442440573675801,False
E01000018,ASTHMA,2053,65,95.83100072785884,-30.831000727858836,-0.6804451874564197,False
E01000019,ASTHMA,1973,56,95.08666262302017,-39.086662623020175,-0.8799642884882307,False
E01000020,ASTHMA,2247,72,112.06627489068029,-40.06627489068029,-0.8452349179870546,False
E01000021,ASTHMA,2254,58,110.52071615313017,-52.52071615313017,-1.1062510183248022,False
E01000022,ASTHMA,1836,45,88.39901325957355,-43.39901325957355,-1.012846232230806,False
E01000023,ASTHMA,4938,130,224.79423598416471,-94.79423598416471,-1.3489827239795487,False
E01000024,ASTHMA,1784,37,82.96794419302675,-45.96794419302675,-1.088322621537388,False
E01000025,ASTHMA,2163,56,103.84849547601571,-47.848495476015714,-1.0288214892014858,False
E01000027,ASTHMA,2336,89,112.80010084181215,-23.800100841812153,-0.4924275901503478,False
E01000028,ASTHMA,2069,77,102.30526993475443,-25.305269934754435,-0.5563277572181013,False
E01000029,ASTHMA,2063,112,99.44842942548121,12.551570574518792,0.27634299386878186,False
E01000030,ASTHMA,2841,106,133.9942315077853,-27.994231507785287,-0.5252099353013079,False
E01000031,ASTHMA,2181,122,105.32169191303632,16.678308086963682,0.35712821181133625,False
E01000032,ASTHMA,2436,113,118.47310811632265,-5.473108116322649,-0.11089076648082465,False
E01000033,ASTHMA,1792,63,83.9030079185919,-20.903007918591896,-0.4937871482661431,False
E01000034,ASTHMA,1807,50,87.83312553867233,-37.833125538672334,-0.8900064319003459,False
E01000035,ASTHMA,2257,82,104.13650514975907,-22.136505149759074,-0.4659542498784149,False
E01000036,ASTHMA,1818,53,80.96203775802425,-27.962037758024252,-0.6558007037400526,False
E01000037,ASTHMA,1755,68,79.5395260306784,-11.539526030678402,-0.2754542076644674,False
E01000038,ASTHMA,1901,58,87.58922606103027,-29.589226061030274,-0.6786448338921607,False
E01000039,ASTHMA,1971,48,89.42080327143425,-41.42080327143425,-0.9329861671279944,False
E01000040,ASTHMA,2324,64,110.27585221564217,-46.275852215642175,-0.9599229248417883,False
E01000041,ASTHMA,2166,62,102.20951144528624,-40.20951144528624,-0.8639718056802759,False
E01000042,ASTHMA,2475,83,116.07997484356697,-33.07997484356697,-0.6649325129121649,False
E01000043,ASTHMA,1899,50,90.1755054724959,-40.1755054724959,-0.9219319527623764,False
E01000044,ASTHMA,2658,76,119.94005580931916,-43.94005580931916,-0.852281606625713,False
E01000045,ASTHMA,2267,62,105.93183883022499,-43.93183883022499,-0.9226853425140076,False
E01000046,ASTHMA,2383,72,110.20571012642992,-38.20571012642992,-0.7826475951468637,False
E01000048,ASTHMA,570,14,26.29381071743339,-12.293810717433391,-0.5149310666795309,False
E01000049,ASTHMA,1460,23,70.88302714133056,-47.88302714133056,-1.2531560945904454,False
E01000050,ASTHMA,2276,70,110.36824057406106,-40.36824057406106,-0.8461623402652465,False
E01000051,ASTHMA,1992,47,91.21459612167664,-44.214596121676635,-0.9906517139615675,False
E01000052,ASTHMA,3025,94,142.374370951609,-48.374370951608995,-0.8795340173019818,False
E01000053,ASTHMA,1862,66,92.12997121431114,-26.12997121431114,-0.6055487234987815,False
E01000054,ASTHMA,2375,87,109.21997658778993,-22.21997658778993,-0.4559442992582283,False
E01000055,ASTHMA,2063,84,95.4991079939872,-11.499107993987195,-0.2531713390776749,False
E01000056,ASTHMA,2030,82,96.68083931973098,-14.680839319730978,-0.325838851593488,False
E01000057,ASTHMA,1789,52,82.22364344025559,-30.223643440255586,-0.7145648461814935,False
E01000058,ASTHMA,2494,112,114.48469591830215,-2.484695918302151,-0.04975365862207547,False
E01000059,ASTHMA,2064,85,96.75954906950103,-11.759549069501034,-0.2588426409055708,False
E01000060,ASTHMA,2431,98,115.91618815516175,-17.91618815516175,-0.3633734023559796,False
E01000061,ASTHMA,2655,102,124.28736917416161,-22.28736917416161,-0.43254026720243227,False
E01000062,ASTHMA,2617,88,119.7036488853912,-31.703648885391203,-0.6197369468733454,False
E01000063,ASTHMA,2040,61,95.22259068506453,-34.22259068506453,-0.7577008933109739,False
E01000064,ASTHMA,2698,115,129.7714880901174,-14.771488090117401,-0.2843827673017586,False
E01000065,ASTHMA,2508,89,122.17514514735043,-33.175145147350435,-0.6624438393781403,False
E01000066,ASTHMA,2643,78,128.6815471195394,-50.6815471195394,-0.9858283023460167,False
E01000067,ASTHMA,2698,111,128.12510403545025,-17.12510403545025,-0.32969491267369994,False
E01000068,ASTHMA,2313,86,113.06683554818487,-27.06683554818487,-0.5627942710466295,False
E01000069,ASTHMA,2445,68,113.26121590765824,-45.26121590765824,-0.9153491551558016,False
E01000070,ASTHMA,2647,78,127.90821932878876,-49.90821932878876,-0.9700521986294952,False
E01000071,ASTHMA,3269,93,149.29161355881052,-56.291613558810525,-0.9845465105639172,False
E01000072,ASTHMA,2522,55,120.66244191774635,-65.66244191774635,-1.3075084026794945,False
E01000073,ASTHMA,2161,77,101.64825798851837,-24.648257988518367,-0.5302233478860391,False
E01000074,ASTHMA,2068,72,96.70035679484286,-24.70035679484286,-0.5431602248695484,False
E01000075,ASTHMA,2408,71,115.0438843219258,-44.0438843219258,-0.8975473562505126,False
E01000076,ASTHMA,2455,83,113.97878056770651,-30.978780567706508,-0.6252282175471233,False
E01000077,ASTHMA,2166,69,105.3864271778043,-36.38642717780429,-0.7818261416540235,False
E01000078,ASTHMA,2155,71,101.65329349705864,-30.65329349705864,-0.6603185627232855,False
E01000079,ASTHMA,2117,63,100.00232406835606,-37.00232406835606,-0.8042083414319574,False
E01000080,ASTHMA,2019,61,94.83857922685232,-33.83857922685232,-0.7530849363077784,False
E01000081,ASTHMA,2259,69,105.78626430250424,-36.786264302504236,-0.7739761379539062,False
E01000082,ASTHMA,2108,46,95.99587228915708,-49.99587228915708,-1.0889272017183584,False
E01000083,ASTHMA,2181,59,104.20258994962325,-45.202589949623246,-0.967911135456721,False
E01000084,ASTHMA,1799,68,84.10441858540133,-16.104418585401334,-0.3796902704656536,False
E01000085,ASTHMA,2061,83,96.23445156432625,-13.23445156432625,-0.2915190586842915,False
E01000086,ASTHMA,1839,79,89.67203773001441,-10.67203773001441,-0.24886079683124862,False
E01000087,ASTHMA,1999,66,93.27168824552567,-27.271688245525667,-0.6099659983475648,False
E01000088,ASTHMA,2335,75,109.28252083180946,-34.282520831809464,-0.7094622732509176,False
E01000089,ASTHMA,2264,88,103.37669957150362,-15.376699571503622,-0.32316544578581863,False
E01000090,ASTHMA,2366,84,109.86715184495992,-25.86715184495992,-0.5317913174477883,False
E01000091,ASTHMA,2713,80,131.33789620990208,-51.337896209902084,-0.9856283136142713,False
E01000092,ASTHMA,7603,229,348.5143523084563,-119.5143523084563,-1.3706531451895365,False
E01000093,ASTHMA,2350,85,114.5814068166576,-29.581406816657605,-0.610217829698507,False
E01000094,ASTHMA,3017,96,132.5203086701886,-36.5203086701886,-0.6648853815173483,False
E01000095,ASTHMA,3995,139,180.4577027149396,-41.457702714939586,-0.655913910068886,False
E01000096,ASTHMA,1990,63,94.11944767834346,-31.119447678343462,-0.6975981852347324,False
E01000097,ASTHMA,2270,69,114.70330509157304,-45.70330509157304,-0.9592563419882468,False
E01000098,ASTHMA,2343,64,116.68833171884025,-52.688331718840246,-1.0884996740776527,False
E01000099,ASTHMA,3263,103,148.92190065779914,-45.92190065779914,-0.8039171949117838,False
