,ASTHMA,COPD,DIABETES_TYPE2,DIABETES_TYPE1,HYPERTENSION,CORONARY_HEART_DISEASE,MYOCARDIAL_INFARCTION,TIA,STROKE,CKD_STAGE1,CKD_STAGE3,DEPRESSION,SEVERE_MENTAL_ILLNESS,CANCER,DEMENTIA,ATRIAL_FIBRILLATION,PALLIATIVE_CARE,HEART_FAILURE
ASTHMA,1.0717188838343927,0.07746660261784917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD,0.07746660261784917,5.959455688035857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948831275729503,0.0,0.0,0.34360826993113447,0.0,0.0,1.7399265593630577,0.0
DIABETES_TYPE2,0.0,0.0,3.167385673391335,0.6654676886977573,0.8593608727466007,0.23619145892838792,0.7188455572847361,0.0,0.0,1.7402687649713167,0.523873880717364,0.0,0.0,0.0,0.0,0.0,0.046490187987837675,0.6953818837741105
DIABETES_TYPE1,0.0,0.0,0.6654676886977573,3.6200714556340494,0.0,0.40119449161966614,0.0,0.0,0.0,1.736195879827848,0.45526275260204163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYPERTENSION,0.0,0.0,0.8593608727466007,0.0,3.332992034316355,1.3180869694062365,1.241126142706779,1.5983876583478418,0.9481671688693206,1.5727306195868496,2.011235852139179,0.0,0.0,0.0,1.3870586927141957,0.29643739637229066,0.0,1.1864102861157564
CORONARY_HEART_DISEASE,0.0,0.0,0.23619145892838792,0.40119449161966614,1.3180869694062365,6.940193294031972,6.209313785625308,0.0,2.6094690026407146,1.418814723549562,0.8310422883502385,0.0,0.0,0.631287727328204,0.0,2.8050731945509892,0.0,3.9827378429170492
MYOCARDIAL_INFARCTION,0.0,0.0,0.7188455572847361,0.0,1.241126142706779,6.209313785625308,6.863247469310056,0.0,2.5325157622798495,1.3418560540165052,0.7540825647894264,0.0,0.0,0.0,0.0,3.1335807132371043,0.0,4.465396024570867
TIA,0.0,0.0,0.0,0.0,1.5983876583478418,0.0,0.0,7.32573176223745,4.6045136409904694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STROKE,0.0,0.0,0.0,0.0,0.9481671688693206,2.6094690026407146,2.5325157622798495,4.6045136409904694,6.926950855715303,1.4055699180707288,0.8177972956430749,0.0,0.0,0.0,0.0,2.098685503784089,0.0,1.890058537913384
CKD_STAGE1,0.0,0.0,1.7402687649713167,1.736195879827848,1.5727306195868496,1.418814723549562,1.3418560540165052,0.0,1.4055699180707288,5.7363175318818795,2.6715969937908657,0.0,0.0,0.0,0.0,0.0,0.0,0.699366658908914
CKD_STAGE3,0.0,0.948831275729503,0.523873880717364,0.45526275260204163,2.011235852139179,0.8310422883502385,0.7540825647894264,0.0,0.8177972956430749,2.6715969937908657,5.148537493856963,0.0,0.0,0.0,0.0,0.3202237795115781,0.9290208656711578,2.308804614311251
DEPRESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575618002653451,0.0,0.0,0.0,0.0,0.0,0.0
SEVERE_MENTAL_ILLNESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.862536474488203,0.0,0.0,0.0,0.0,0.0
CANCER,0.0,0.34360826993113447,0.0,0.0,0.0,0.631287727328204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255631579596567,0.0,0.0,3.0806391380150737,0.31729079145951355
DEMENTIA,0.0,0.0,0.0,0.0,1.3870586927141957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.299701782177351,0.0,0.0,0.0
ATRIAL_FIBRILLATION,0.0,0.0,0.0,0.0,0.29643739637229066,2.8050731945509892,3.1335807132371043,0.0,2.098685503784089,0.0,0.3202237795115781,0.0,0.0,0.0,0.0,6.4294359282604345,0.0,3.957440452231693
PALLIATIVE_CARE,0.0,1.7399265593630577,0.046490187987837675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9290208656711578,0.0,0.0,3.0806391380150737,0.0,0.0,7.03815061191961,2.001278138908234
HEART_FAILURE,0.0,0.0,0.6953818837741105,0.0,1.1864102861157564,3.9827378429170492,4.465396024570867,0.0,1.890058537913384,0.699366658908914,2.308804614311251,0.0,0.0,0.31729079145951355,0.0,3.957440452231693,2.001278138908234,6.220810158900047
