condition1,condition2,condition3,ppmi,count
ASTHMA,ASTHMA,ASTHMA,3.3971853347652674,47747.0
ASTHMA,ASTHMA,COPD,2.0707194925971057,1864.0
ASTHMA,ASTHMA,DIABETES_TYPE2,0.8366775125342799,5971.0
ASTHMA,ASTHMA,DIABETES_TYPE1,0.7194403621767247,201.0
ASTHMA,ASTHMA,HYPERTENSION,0.870652410804371,7109.0
ASTHMA,ASTHMA,CORONARY_HEART_DISEASE,1.023545940938237,588.0
ASTHMA,ASTHMA,MYOCARDIAL_INFARCTION,0.7873661688831556,352.0
ASTHMA,ASTHMA,TIA,1.1613113474317494,172.0
ASTHMA,ASTHMA,STROKE,0.6185173097247835,82.0
ASTHMA,ASTHMA,CKD_STAGE1,0.808948956610896,382.0
ASTHMA,ASTHMA,CKD_STAGE3,0.9373467567764443,1232.0
ASTHMA,ASTHMA,DEPRESSION,1.1646636767676923,7410.0
ASTHMA,ASTHMA,SEVERE_MENTAL_ILLNESS,1.0029910639768798,1132.0
ASTHMA,ASTHMA,CANCER,0.7452245828552945,869.0
ASTHMA,ASTHMA,DEMENTIA,0.22609963772731706,12.0
ASTHMA,ASTHMA,ATRIAL_FIBRILLATION,0.9599663940902727,306.0
ASTHMA,ASTHMA,PALLIATIVE_CARE,0.8727903230559183,60.0
ASTHMA,ASTHMA,HEART_FAILURE,1.0277024665995005,344.0
ASTHMA,COPD,ASTHMA,2.0707194925971053,1864.0
ASTHMA,COPD,COPD,3.9874446092468636,1864.0
ASTHMA,COPD,DIABETES_TYPE2,0.019738920540955295,388.0
ASTHMA,COPD,DIABETES_TYPE1,0.0,9.0
ASTHMA,COPD,HYPERTENSION,0.04513049200691948,458.0
ASTHMA,COPD,CORONARY_HEART_DISEASE,0.9455709538050204,80.0
ASTHMA,COPD,MYOCARDIAL_INFARCTION,0.4513783528667871,37.0
ASTHMA,COPD,TIA,0.49549103404480355,13.0
ASTHMA,COPD,STROKE,0.07443395645855619,7.0
ASTHMA,COPD,CKD_STAGE1,0.11245859288315088,28.0
ASTHMA,COPD,CKD_STAGE3,0.3527988136592455,101.0
ASTHMA,COPD,DEPRESSION,0.3042017496620018,461.0
ASTHMA,COPD,SEVERE_MENTAL_ILLNESS,0.5227044198225722,103.0
ASTHMA,COPD,CANCER,0.12871370402444024,69.0
ASTHMA,COPD,DEMENTIA,0.0,1.0
ASTHMA,COPD,ATRIAL_FIBRILLATION,1.0849318202145388,51.0
ASTHMA,COPD,PALLIATIVE_CARE,1.3342242427482285,14.0
ASTHMA,COPD,HEART_FAILURE,1.2781729358310228,65.0
ASTHMA,DIABETES_TYPE2,ASTHMA,0.8366775125342799,5971.0
ASTHMA,DIABETES_TYPE2,COPD,0.019738920540955295,388.0
ASTHMA,DIABETES_TYPE2,DIABETES_TYPE2,0.3551715042566461,5971.0
ASTHMA,DIABETES_TYPE2,DIABETES_TYPE1,0.0,53.0
ASTHMA,DIABETES_TYPE2,HYPERTENSION,0.0,2010.0
ASTHMA,DIABETES_TYPE2,CORONARY_HEART_DISEASE,0.0,232.0
ASTHMA,DIABETES_TYPE2,MYOCARDIAL_INFARCTION,0.0,130.0
ASTHMA,DIABETES_TYPE2,TIA,0.0,56.0
ASTHMA,DIABETES_TYPE2,STROKE,0.0,17.0
ASTHMA,DIABETES_TYPE2,CKD_STAGE1,0.0,238.0
ASTHMA,DIABETES_TYPE2,CKD_STAGE3,0.0,326.0
ASTHMA,DIABETES_TYPE2,DEPRESSION,0.0,988.0
ASTHMA,DIABETES_TYPE2,SEVERE_MENTAL_ILLNESS,0.0,242.0
ASTHMA,DIABETES_TYPE2,CANCER,0.0,150.0
ASTHMA,DIABETES_TYPE2,DEMENTIA,0.0,4.0
ASTHMA,DIABETES_TYPE2,ATRIAL_FIBRILLATION,0.0,82.0
ASTHMA,DIABETES_TYPE2,PALLIATIVE_CARE,0.0,13.0
ASTHMA,DIABETES_TYPE2,HEART_FAILURE,0.0,116.0
ASTHMA,DIABETES_TYPE1,ASTHMA,0.7194403621767245,201.0
ASTHMA,DIABETES_TYPE1,COPD,0.0,9.0
ASTHMA,DIABETES_TYPE1,DIABETES_TYPE2,0.0,53.0
