covariate,coefficient,p_value,OR,CI_lower,CI_upper,pdc_col,model,covariates
Intercept,0.03293586051860965,0.4950716480399301,1.0334842499716301,0.9401836320689472,1.1360437030678876,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Male],-0.13279866202996565,3.056197126256683e-27,0.8756413742187978,0.854811421616915,0.8969789088609113,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Other],13.52151953646782,0.9917847291518952,745283.1829409489,0.0,inf,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Unknown],21.34469710842549,0.9996106863810502,1861590577.4854305,0.0,inf,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other Asian background],-0.008982864588131488,0.7896968210514274,0.9910573608034489,0.927746842052483,1.0586882626619971,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other Black background],-0.09820462179874133,0.008375955096120666,0.9064634026038447,0.8426455979534757,0.9751144517407261,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other White background],0.38633007219294346,3.7565816588427885e-45,1.4715703151024728,1.3946330924848684,1.55275190583095,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other ethnic group],0.27870552362792106,2.6447299334562846e-14,1.3214181601438473,1.2299433796260266,1.4196962095026513,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other mixed background],0.1799064603623573,0.016584924048457853,1.1971053810809456,1.0332683351026386,1.3869207491688056,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Bangladeshi],0.3688342904947178,8.088270240511287e-51,1.4460479599276106,1.377982082360012,1.5174759738744523,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.British],0.8487914450735438,1.7322385712524746e-265,2.3368209681587606,2.2277680487219365,2.451212207823544,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Caribbean],-0.2966391880629222,9.297399312549293e-24,0.7433121598838786,0.701526265006679,0.7875870007888818,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Chinese],0.93519814004243,8.452845872698132e-19,2.5477182127260383,2.0712978142737044,3.1337203403229417,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Indian],0.1421462390598953,4.012349520305321e-07,1.1527452125875681,1.0910904277384914,1.2178839547679035,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Irish],0.3711015844706156,2.4578369429164475e-07,1.4493302953595861,1.2588106033501136,1.6686849470895946,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.None],0.26989641389424324,0.0024155316774838527,1.309828763644886,1.1002392141021575,1.5593439754567702,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Not stated],0.3936308065435161,9.579302809296847e-08,1.482353172545626,1.2827504460049872,1.7130151347829188,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Pakistani],-0.018478227921243245,0.49685924332146436,0.9816914478226376,0.930733832105336,1.0354389896283875,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.White and Asian],0.41841251742474406,0.0019506068589219174,1.5195473849028485,1.1661084864923235,1.98011101172128,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.White and Black African],0.1961217854845891,0.026330168658838277,1.216675069674948,1.0233425577653477,1.4465324577148795,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.White and Black Caribbean],-0.05980820146560842,0.37818496879702324,0.9419451799648338,0.8246248968951342,1.0759567476069236,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.10.0],0.9481435670597294,1.5162380346970566e-21,2.5809139155959384,2.123835707613684,3.136361544274585,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.2.0],0.0019505782829831808,0.952936430527782,1.0019524818983179,0.9391073405309218,1.069003225355093,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.3.0],0.07472704994822416,0.023665210917335037,1.0775899824983037,1.01004302706531,1.1496541625108516,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.4.0],0.1639794392606223,2.3426499838800104e-06,1.1781900903842983,1.1006569688723464,1.2611848453582595,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.5.0],0.2555207080804412,9.549978486145853e-12,1.2911337496426318,1.1996308388911217,1.3896161264136537,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.6.0],0.3610776436931585,2.4506605273055373e-20,1.434874865537346,1.3290866642122108,1.5490832427930255,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.7.0],0.48546303712523337,3.4306633188868136e-27,1.6249272363123826,1.487898294397021,1.774575945985495,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.8.0],0.7666839166708452,9.037139222330911e-47,2.1526161506369133,1.9387650995140466,2.390055552962212,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.9.0],0.6464135079063623,1.4375701243430416e-30,1.9086830619901136,1.7094523172562044,2.1311334597360108,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
imd[T.nan],0.21959314659391393,0.0007250704881978155,1.2455698631426617,1.096643792581636,1.414720344440136,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Angiotensin-converting enzyme inhibitors],-0.13701737405893402,3.281612532709817e-08,0.8719550766016168,0.830591376912017,0.9153787009419784,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Antihistamines],0.13268626868430583,1.9493946765191894e-06,1.1418916949445015,1.0811612408788436,1.206033470015362,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Beta-adrenoceptor blocking drugs],0.18699048110954805,3.4909716132963315e-11,1.205615808870493,1.1407249584343278,1.2741980157893882,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Biguanides],-0.33246636011260944,8.026815956823838e-40,0.7171527933974218,0.6826270396210665,0.7534247828260993,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Lipid-regulating drugs],-0.25695662145002823,6.847919810120727e-21,0.77340176208479,0.7329552848436632,0.8160801865606868,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
drug_class[T.Proton pump inhibitors],0.15159685008176732,3.970737978388851e-10,1.163690999920671,1.109707283320456,1.2203008519908205,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
overall_inclusive_pdc,0.31252615580483806,2.1563241044219224e-186,1.3668736923877798,1.3384193321750626,1.3959329830551395,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
age_at_start,0.022890967993681635,0.0,1.0231549768254764,1.0222910211643395,1.0240196626303484,overall_inclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
Intercept,-0.8099855218080717,1.232286328395114e-58,0.4448645070100301,0.4032026252565673,0.4908312029747969,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Male],-0.1402914868579372,1.1229041591782779e-29,0.8691048658270918,0.8482368482496417,0.8904862708605469,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Other],13.320293966107496,0.9919304856404201,609438.8934987327,0.0,inf,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
gender[T.Unknown],21.19935093599653,0.9995971650223148,1609759999.1766338,0.0,inf,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other Asian background],-0.03201288051927758,0.3472098763014453,0.9684941072918377,0.9059593407616832,1.0353453997951039,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other Black background],-0.10456355225381113,0.005542250010068379,0.9007175529573579,0.8365653282378568,0.9697893073268987,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
ethnicity[T.Any other White background],0.35592454896713993,6.913012372961707e-38,1.4274998378632913,1.3521662386157776,1.507030518071349,overall_exclusive_pdc,adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
