covariate,coefficient,p_value,OR,CI_lower,CI_upper,pdc_col,model,covariates
Intercept,-0.28474499894480526,0.0021036567747707464,0.7522060431998997,0.6273653490062222,0.9018890385366783,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(gender)[T.Male],-0.08155676139349546,0.0010175685605958494,0.9216803925056625,0.8779131659536975,0.9676295775864872,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Any other Asian background],-0.044597982648849274,0.5071037586102696,0.9563818866719835,0.8383091115918685,1.091084780669268,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Any other White background],0.35428194527363,1.5915842599457704e-10,1.4251569461052485,1.278545110811881,1.588580882955549,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Any other ethnic group],0.22459523147610463,0.0015704419694587558,1.2518159179494983,1.0890992801160346,1.4388431991845494,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Bangladeshi],0.2723757762868759,3.882806333573715e-08,1.313080333066045,1.1915367689642453,1.4470220357392707,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.British],0.8077406015980279,7.335953769418444e-63,2.242834800296362,2.040383135917636,2.4653742000068557,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Caribbean],-0.38054263065140687,3.4498910374740316e-11,0.6834904257130149,0.6107256980962499,0.7649246846785451,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Indian],0.10903538819524357,0.053202573939560696,1.1152018146227107,0.9984957786380423,1.2455486682519294,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Other],0.15128556594142986,0.007872814894301462,1.1633288177418508,1.0405070840359913,1.3006484616512621,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(ethnicity)[T.Pakistani],-0.07271147863575629,0.1837461212559729,0.9298690784213095,0.8353378831258604,1.0350979172266481,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
C(imd)[T.10.0],0.9988486861070276,1.2306284111353118e-06,2.7151540337071993,1.8134861512981204,4.06513246405518,overall_inclusive_pdc,multilevel_adjusted,"gender, ethnicity, imd, drug_class, age_at_start"
