covariate,coefficient,p_value,OR,CI_lower,CI_upper,pdc_col,model,covariates
Intercept,1.8536081068508494,0.0,6.38280787827393,6.159666983023268,6.6140323045451,overall_inclusive_pdc,unadjusted,
overall_inclusive_pdc,0.4324095043218626,2.332714612012103e-181,1.54096601821785,1.4961531423380976,1.587121132260118,overall_inclusive_pdc,unadjusted,
Intercept,0.1513212730479392,1.3705646301929678e-10,1.163370357589481,1.1108417707047324,1.2183828737906055,overall_exclusive_pdc,unadjusted,
overall_exclusive_pdc,2.906219840853487,0.0,18.28753793759058,17.188184390857813,19.45720596275987,overall_exclusive_pdc,unadjusted,
Intercept,2.3031322790744553,0.0,10.005473358140224,9.75449435377713,10.262909945884532,pre_inclusive_pdc,unadjusted,
pre_inclusive_pdc,0.03703171356017835,4.403814030104468e-06,1.0377259303000554,1.021450379585916,1.054260811820999,pre_inclusive_pdc,unadjusted,
Intercept,0.8331182388008129,0.0,2.300481016783498,2.2049737766863826,2.4001251010496527,pre_exclusive_pdc,unadjusted,
pre_exclusive_pdc,1.925208276394819,0.0,6.856576580244525,6.498575220582405,7.234299951142891,pre_exclusive_pdc,unadjusted,
Intercept,2.0590493406498016,0.0,7.838514510043832,7.593482701874283,8.091453175892799,post_inclusive_pdc,unadjusted,
post_inclusive_pdc,0.23259530183409555,1.5604438394425365e-86,1.2618706992207633,1.233028668225718,1.2913873801840987,post_inclusive_pdc,unadjusted,
Intercept,1.044978377068322,0.0,2.8433370417044714,2.721079771741002,2.971087292878616,post_exclusive_pdc,unadjusted,
post_exclusive_pdc,1.6192653465525793,0.0,5.049379409624866,4.784199570862569,5.3292577043868405,post_exclusive_pdc,unadjusted,
