PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01000001,ASTHMA,1361,68,63.05339149662928,4.946608503370719,0.13408446920838582,False
E01000002,ASTHMA,1293,78,57.74544281440248,20.25455718559752,0.5632789093902204,False
E01000003,ASTHMA,1440,74,68.49305020759807,5.506949792401926,0.14512086920151254,False
E01000005,ASTHMA,1545,72,68.49654762637326,3.503452373626743,0.08913165613709675,False
E01000006,ASTHMA,2357,51,105.23462119826962,-54.23462119826962,-1.117112264656279,False
E01000007,ASTHMA,3567,84,159.87038539576642,-75.87038539576642,-1.2703422296611122,False
E01000008,ASTHMA,2090,56,97.79168504971393,-41.791685049713934,-0.9141484753961638,False
E01000009,ASTHMA,2734,69,132.3238075406352,-63.32380754063519,-1.2110658701570816,False
E01000010,ASTHMA,5571,117,250.8550925220978,-133.8550925220978,-1.7933634709338204,False
E01000011,ASTHMA,2428,68,114.95159382918388,-46.95159382918388,-0.9528532032675372,False
E01000012,ASTHMA,3051,80,139.66762191400107,-59.667621914001074,-1.080233459973934,False
E01000013,ASTHMA,2259,77,106.85126299433936,-29.851262994339365,-0.6280650042475858,False
E01000014,ASTHMA,2040,82,96.70998441946746,-14.70998441946746,-0.3256845291985815,False
E01000015,ASTHMA,2839,91,130.61550156628607,-39.61550156628607,-0.7435025503595322,False
E01000016,ASTHMA,2226,91,103.26264164209711,-12.262641642097108,-0.2599090829035867,False
E01000017,ASTHMA,2123,72,101.68420473548116,-29.68420473548116,-0.6442440573676916,False
E01000018,ASTHMA,2053,65,95.83100072786104,-30.83100072786104,-0.6804451874564683,False
E01000019,ASTHMA,1973,56,95.08666262302913,-39.08666262302913,-0.8799642884884323,False
E01000020,ASTHMA,2247,72,112.06627489068698,-40.066274890686984,-0.8452349179871959,False
E01000021,ASTHMA,2254,58,110.5207161531423,-52.5207161531423,-1.1062510183250578,False
E01000022,ASTHMA,1836,45,88.39901325957962,-43.39901325957962,-1.0128462322309477,False
E01000023,ASTHMA,4938,130,224.79423598418916,-94.79423598418916,-1.3489827239798966,False
E01000024,ASTHMA,1784,37,82.96794419303089,-45.96794419303089,-1.088322621537486,False
E01000025,ASTHMA,2163,56,103.84849547602332,-47.84849547602332,-1.0288214892016492,False
E01000027,ASTHMA,2336,89,112.80010084181899,-23.80010084181899,-0.4924275901504892,False
E01000028,ASTHMA,2069,77,102.30526993476039,-25.30526993476039,-0.5563277572182322,False
E01000029,ASTHMA,2063,112,99.44842942547996,12.551570574520042,0.2763429938688094,False
E01000030,ASTHMA,2841,106,133.9942315077939,-27.9942315077939,-0.5252099353014694,False
E01000031,ASTHMA,2181,122,105.32169191303907,16.678308086960925,0.35712821181127724,False
E01000032,ASTHMA,2436,113,118.47310811632951,-5.473108116329513,-0.11089076648096372,False
E01000033,ASTHMA,1792,63,83.90300791859451,-20.90300791859451,-0.49378714826620485,False
E01000034,ASTHMA,1807,50,87.83312553867313,-37.83312553867313,-0.8900064319003647,False
E01000035,ASTHMA,2257,82,104.13650514975579,-22.13650514975579,-0.46595424987834577,False
E01000036,ASTHMA,1818,53,80.96203775801983,-27.962037758019832,-0.655800703739949,False
E01000037,ASTHMA,1755,68,79.53952603066719,-11.53952603066719,-0.2754542076641997,False
E01000038,ASTHMA,1901,58,87.58922606102084,-29.589226061020838,-0.6786448338919442,False
E01000039,ASTHMA,1971,48,89.42080327142729,-41.42080327142729,-0.9329861671278376,False
E01000040,ASTHMA,2324,64,110.27585221565032,-46.27585221565032,-0.9599229248419572,False
E01000041,ASTHMA,2166,62,102.20951144528922,-40.20951144528922,-0.8639718056803399,False
E01000042,ASTHMA,2475,83,116.07997484357962,-33.07997484357962,-0.6649325129124192,False
E01000043,ASTHMA,1899,50,90.17550547249975,-40.17550547249975,-0.9219319527624648,False
E01000044,ASTHMA,2658,76,119.94005580932819,-43.940055809328186,-0.852281606625888,False
E01000045,ASTHMA,2267,62,105.93183883023194,-43.93183883023194,-0.9226853425141536,False
