,ASTHMA,COPD,DIABETES_TYPE2,DIABETES_TYPE1,HYPERTENSION,CORONARY_HEART_DISEASE,MYOCARDIAL_INFARCTION,TIA,STROKE,CKD_STAGE1,CKD_STAGE3,DEPRESSION,SEVERE_MENTAL_ILLNESS,CANCER,DEMENTIA,ATRIAL_FIBRILLATION,PALLIATIVE_CARE,HEART_FAILURE
ASTHMA,1.6351771421121133,0.11152827576133847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD,0.11152827576133847,3.2588249243295624,0.0,0.0,0.0,0.8308157619633902,0.5736449922539143,0.5970157493784621,0.3323318010286433,0.0,0.30326072894457157,0.0,0.0,0.3181872069983642,0.5263254347053712,0.8761328887322706,1.3740613497018683,1.049702106394941
DIABETES_TYPE2,0.0,0.0,1.2826682972371652,0.0,0.0,0.3721529627924693,0.3142429122032182,0.01755949303588571,0.13404558142663547,0.7776729311111892,0.18907232223312967,0.0,0.0,0.0,0.2356803616682047,0.0,0.0,0.2784325159410043
DIABETES_TYPE1,0.0,0.0,0.0,4.38922458616525,0.0,0.0,0.0,0.0,0.0,0.4261040717415812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYPERTENSION,0.0,0.0,0.0,0.0,1.140844606251311,0.22173211208737048,0.05172681075496004,0.21486642894992156,0.27990395744768526,0.25713328558206155,0.26639789250917284,0.0,0.0,0.0,0.0426217999040014,0.07949078714386139,0.0,0.12957838402662447
CORONARY_HEART_DISEASE,0.0,0.8308157619633902,0.3721529627924693,0.0,0.22173211208737048,3.5595902050338895,2.739194816900016,0.7095844829110908,0.786261913677185,0.42240790397764305,0.6221116520281736,0.0,0.0,0.0,0.6290777829223022,1.0513870405221333,0.5762144772250125,1.742976290611968
MYOCARDIAL_INFARCTION,0.0,0.5736449922539143,0.3142429122032182,0.0,0.05172681075496004,2.739194816900016,3.9805948058334764,0.6463431590087623,0.9677168557136868,0.21058528561932263,0.6179540923139486,0.0,0.0,0.0,0.7352716046417272,1.0856845171285683,0.738357354948679,2.0445665370642234
TIA,0.0,0.5970157493784621,0.01755949303588571,0.0,0.21486642894992156,0.7095844829110908,0.6463431590087623,4.87663966848441,2.458209510434066,0.15306940547289233,0.5855390720424687,0.0,0.0,0.020307231643964807,1.420595609652772,1.1936215752313297,0.8947354586610713,1.0540069120715272
STROKE,0.0,0.3323318010286433,0.13404558142663547,0.0,0.27990395744768526,0.786261913677185,0.9677168557136868,2.458209510434066,5.111684468881767,0.3227323388889652,0.6899646886014519,0.0,0.0,0.07926203619070249,2.0318761273190074,1.509593731579042,1.4174624004671459,1.3388140661314387
CKD_STAGE1,0.0,0.0,0.7776729311111892,0.4261040717415812,0.25713328558206155,0.42240790397764305,0.21058528561932263,0.15306940547289233,0.3227323388889652,3.9218940356229366,0.7191478101303931,0.0,0.0,0.0,0.3340807308510999,0.17968597259261124,0.13414580261685838,0.6202381277300261
CKD_STAGE3,0.0,0.30326072894457157,0.18907232223312967,0.0,0.26639789250917284,0.6221116520281736,0.6179540923139486,0.5855390720424687,0.6899646886014519,0.7191478101303931,2.529406377927969,0.0,0.0,0.17091568966093654,0.8692284899406055,0.8691770539492053,0.8595657141215695,1.2930775564490522
DEPRESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2990068895200042,0.0,0.0,0.0,0.0,0.0,0.0
SEVERE_MENTAL_ILLNESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1466391664106403,0.0,0.3265838453401343,0.0,0.1455640373875957,0.0
CANCER,0.0,0.3181872069983642,0.0,0.0,0.0,0.0,0.0,0.020307231643964807,0.07926203619070249,0.0,0.17091568966093654,0.0,0.0,2.9010844716622093,0.0,0.32177291673832203,1.9716074369163907,0.234882307301858
DEMENTIA,0.0,0.5263254347053712,0.2356803616682047,0.0,0.0426217999040014,0.6290777829223022,0.7352716046417272,1.420595609652772,2.0318761273190074,0.3340807308510999,0.8692284899406055,0.0,0.3265838453401343,0.0,5.164417791320445,0.8936143163552985,3.1078039925720344,0.9540207280459183
ATRIAL_FIBRILLATION,0.0,0.8761328887322706,0.0,0.0,0.07949078714386139,1.0513870405221333,1.0856845171285683,1.1936215752313297,1.509593731579042,0.17968597259261124,0.8691770539492053,0.0,0.0,0.32177291673832203,0.8936143163552985,3.767374019121654,1.1415498262837993,2.347262738143998
PALLIATIVE_CARE,0.0,1.3740613497018683,0.0,0.0,0.0,0.5762144772250125,0.738357354948679,0.8947354586610713,1.4174624004671459,0.13414580261685838,0.8595657141215695,0.0,0.1455640373875957,1.9716074369163907,3.1078039925720344,1.1415498262837993,5.295336069394444,1.6793874510101376
HEART_FAILURE,0.0,1.049702106394941,0.2784325159410043,0.0,0.12957838402662447,1.742976290611968,2.0445665370642234,1.0540069120715272,1.3388140661314387,0.6202381277300261,1.2930775564490522,0.0,0.0,0.234882307301858,0.9540207280459183,2.347262738143998,1.6793874510101376,3.914165073548838
