,ASTHMA,COPD,DIABETES_TYPE2,DIABETES_TYPE1,HYPERTENSION,CORONARY_HEART_DISEASE,MYOCARDIAL_INFARCTION,TIA,STROKE,CKD_STAGE1,CKD_STAGE3,DEPRESSION,SEVERE_MENTAL_ILLNESS,CANCER,DEMENTIA,ATRIAL_FIBRILLATION,PALLIATIVE_CARE,HEART_FAILURE
ASTHMA,1.6985926728345018,0.37212690805004667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPD,0.37212690805004667,3.6153183014330232,0.0,0.0,0.0,0.6143450728446496,0.36222393085279286,0.20224209200736962,0.16760092514239466,0.0,0.0,0.0,0.053014101855020805,0.0,0.35722087908245614,0.6193003608881096,1.090923154537115,0.9464574144567355
DIABETES_TYPE2,0.0,0.0,1.217086662338907,0.0,0.0,0.2570027623132162,0.1784842668748747,0.0,0.023164193140289488,0.698096107446241,0.0,0.0,0.0,0.0,0.027002962765383526,0.0,0.0,0.0802319735895215
DIABETES_TYPE1,0.0,0.0,0.0,4.491213645048518,0.0,0.0,0.0,0.0,0.0,0.6019482068048244,0.12446786129300727,0.0,0.0,0.0,0.4446576109932326,0.0,0.069699816801111,0.04229011662991259
HYPERTENSION,0.0,0.0,0.0,0.0,1.0766143908388348,0.03555644600104128,0.0,0.040635452174600864,0.1697487909327077,0.17293317859446816,0.17628656815454163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORONARY_HEART_DISEASE,0.0,0.6143450728446496,0.2570027623132162,0.0,0.03555644600104128,3.72189774682998,2.899091983547089,0.5580371849971009,0.6308550778049844,0.25083598210336105,0.41665361501046944,0.0,0.0,0.0,0.8991172092899162,0.8643987223645259,0.09889106800701386,1.8799604461971846
MYOCARDIAL_INFARCTION,0.0,0.36222393085279286,0.1784842668748747,0.0,0.0,2.899091983547089,3.9988136315814584,0.35311513163964714,0.7646700501740917,0.0398679736301135,0.4190332733793951,0.0,0.0,0.0,0.9077685012438097,0.9855042245761244,0.2704462476053315,2.1955691605132137
TIA,0.0,0.20224209200736962,0.0,0.0,0.040635452174600864,0.5580371849971009,0.35311513163964714,5.0888934299872535,2.682629534544091,0.08159958689719651,0.3724756530774906,0.0,0.0,0.0,1.5123342354470135,1.2455793763029515,0.4160652866655418,0.9896447807930182
STROKE,0.0,0.16760092514239466,0.023164193140289488,0.0,0.1697487909327077,0.6308550778049844,0.7646700501740917,2.682629534544091,5.286873286668061,0.1872072901103604,0.6734889262912597,0.0,0.0,0.0,2.403457675290907,1.6147084444135813,0.7475761071115178,1.4334605294537728
CKD_STAGE1,0.0,0.0,0.698096107446241,0.6019482068048244,0.17293317859446816,0.25083598210336105,0.0398679736301135,0.08159958689719651,0.1872072901103604,3.9386070160218907,0.8844673131772868,0.0,0.0,0.0,0.3620555820548352,0.0,0.0,0.5159744652871836
CKD_STAGE3,0.0,0.0,0.0,0.12446786129300727,0.17628656815454163,0.41665361501046944,0.4190332733793951,0.3724756530774906,0.6734889262912597,0.8844673131772868,2.8960314560627567,0.0,0.0,0.0,0.9536107275233305,0.5612276154871159,0.8622596177092419,1.256789952294933
DEPRESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3291568066282564,0.0,0.0,0.0,0.0,0.0,0.0
SEVERE_MENTAL_ILLNESS,0.0,0.053014101855020805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.046328644297033,0.0,0.8243230021692406,0.0,0.11646907645186938,0.0
CANCER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.052960289536597,0.0,0.0,2.3395825299553197,0.0
DEMENTIA,0.0,0.35722087908245614,0.027002962765383526,0.4446576109932326,0.0,0.8991172092899162,0.9077685012438097,1.5123342354470135,2.403457675290907,0.3620555820548352,0.9536107275233305,0.0,0.8243230021692406,0.0,6.8161891962272385,0.734906461177042,3.598699850094695,1.004039145720608
ATRIAL_FIBRILLATION,0.0,0.6193003608881096,0.0,0.0,0.0,0.8643987223645259,0.9855042245761244,1.2455793763029515,1.6147084444135813,0.0,0.5612276154871159,0.0,0.0,0.0,0.734906461177042,4.311459722726923,0.6884522683070279,2.562803553987567
PALLIATIVE_CARE,0.0,1.090923154537115,0.0,0.069699816801111,0.0,0.09889106800701386,0.2704462476053315,0.4160652866655418,0.7475761071115178,0.0,0.8622596177092419,0.0,0.11646907645186938,2.3395825299553197,3.598699850094695,0.6884522683070279,5.853513100908496,1.6687504873740808
HEART_FAILURE,0.0,0.9464574144567355,0.0802319735895215,0.04229011662991259,0.0,1.8799604461971846,2.1955691605132137,0.9896447807930182,1.4334605294537728,0.5159744652871836,1.256789952294933,0.0,0.0,0.0,1.004039145720608,2.562803553987567,1.6687504873740808,4.262139290362149
