condition1,condition2,condition3,ppmi,count
ASTHMA,ASTHMA,ASTHMA,4.279873081589837,15434.0
ASTHMA,ASTHMA,COPD,2.568753592174985,2233.0
ASTHMA,ASTHMA,DIABETES_TYPE2,1.898611022065453,4712.0
ASTHMA,ASTHMA,DIABETES_TYPE1,1.6993459490291085,49.0
ASTHMA,ASTHMA,HYPERTENSION,1.9213028296960168,5790.0
ASTHMA,ASTHMA,CORONARY_HEART_DISEASE,2.139415658842646,902.0
ASTHMA,ASTHMA,MYOCARDIAL_INFARCTION,1.9486077363660002,409.0
ASTHMA,ASTHMA,TIA,2.0029356926809996,233.0
ASTHMA,ASTHMA,STROKE,1.6678917577855399,123.0
ASTHMA,ASTHMA,CKD_STAGE1,1.8419322830326368,356.0
ASTHMA,ASTHMA,CKD_STAGE3,1.8603067628434964,2440.0
ASTHMA,ASTHMA,DEPRESSION,2.220380069206737,1405.0
ASTHMA,ASTHMA,SEVERE_MENTAL_ILLNESS,1.8233772079793045,238.0
ASTHMA,ASTHMA,CANCER,1.7083687419883073,1041.0
ASTHMA,ASTHMA,DEMENTIA,1.6852134522926343,301.0
ASTHMA,ASTHMA,ATRIAL_FIBRILLATION,1.9572058756854789,912.0
ASTHMA,ASTHMA,PALLIATIVE_CARE,1.864535237048128,217.0
ASTHMA,ASTHMA,HEART_FAILURE,2.087705162706639,771.0
ASTHMA,COPD,ASTHMA,2.568753592174985,2233.0
ASTHMA,COPD,COPD,2.7908609891160054,2233.0
ASTHMA,COPD,DIABETES_TYPE2,0.15660456502976827,661.0
ASTHMA,COPD,DIABETES_TYPE1,0.0,6.0
ASTHMA,COPD,HYPERTENSION,0.19126308003498046,822.0
ASTHMA,COPD,CORONARY_HEART_DISEASE,0.8944466522858271,208.0
ASTHMA,COPD,MYOCARDIAL_INFARCTION,0.7621702254326126,100.0
ASTHMA,COPD,TIA,0.6658250608716414,49.0
ASTHMA,COPD,STROKE,0.21330935741964435,23.0
ASTHMA,COPD,CKD_STAGE1,0.14035284436370926,52.0
ASTHMA,COPD,CKD_STAGE3,0.2462402239336922,389.0
ASTHMA,COPD,DEPRESSION,0.8984773911019148,300.0
ASTHMA,COPD,SEVERE_MENTAL_ILLNESS,0.4444150944970232,48.0
ASTHMA,COPD,CANCER,0.32487337420656237,209.0
ASTHMA,COPD,DEMENTIA,0.260653738218582,58.0
